solution_id,old_expected_ms,testbed_avg_ms,testbed_p90_ms,testbed_p95_ms,simulated_mean_ms,delta_ms,delta_pct,overall_spreading,title
0,43.0,78.0,110.0,130.0,77.61699089803673,-0.38300910196326754,-0.49103731020931735,0.92,"OPTIMUUM 20 - Soluzione 0 del 16/07/2025"
2,98.0,207.0,320.0,360.0,183.83558002397479,-23.164419976025215,-11.19054105121991,0.17,"OPTIMUUM 22 - Soluzione 2 del 16/07/2025"
4,62.0,131.0,240.0,260.0,142.60956727121285,11.609567271212853,8.862265092528895,0.54,"OPTIMUUM 24 - Soluzione 4 del 16/07/2025"
10,72.0,158.0,260.0,260.0,148.51753176113556,-9.482468238864442,-6.001562176496482,0.36,"OPTIMUUM 2_10 - Soluzione 10 del 16/07/2025"
