1, 1, 4, 9, 1, 1, 0, 0, 0, 0
2, 14, 12, 2, 0, 1, 1, 0, 0, 0
3, 14, 12, 2, 0, 1, 1, 0, 0, 0
4, 17, 5, 5, 1, 0, 0, 0, 0, 0
5, 17, 5, 5, 1, 0, 0, 0, 0, 0
6, 17, 5, 5, 1, 0, 0, 0, 0, 0
7, 14, 3, 13, 1, 1, 1, 0, 0, 0
8, 14, 3, 13, 1, 1, 1, 0, 0, 0
9, 14, 3, 13, 1, 1, 1, 0, 0, 0
10, 14, 3, 13, 1, 1, 1, 0, 0, 0
11, 14, 3, 13, 1, 1, 1, 0, 0, 0
12, 15, 10, 19, 1, 1, 1, 0, 0, 0
13, 15, 10, 19, 1, 1, 1, 0, 0, 0
14, 18, 5, 20, 1, 1, 0, 0, 0, 0
15, 18, 5, 20, 1, 1, 0, 0, 0, 0
16, 18, 5, 20, 1, 1, 0, 0, 0, 0
